AREA,AREA_TITLE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
66,Guam,GU,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,64680,0,1000,1,,,20.29,42210,0.4,10.01,10.92,16.02,23.89,36.05,20830,22720,33320,49690,74990,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,928240,0,1000,1,,,16.4,34120,0.6,8.87,9.65,12.09,18.17,28.06,18450,20080,25140,37790,58360,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,33700,0.1,1000,1,,,24.34,50620,0.8,11.94,14.38,19.42,28.47,40.02,24830,29910,40400,59220,83250,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,5580,4.8,86.211,1.25,,,36.75,76430,1.5,17.91,22.99,31.53,44.76,61.41,37260,47810,65570,93090,127730,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,39130,1.9,42.155,0.61,,,42.79,88990,1.5,18.15,24.59,35.92,52.04,75.41,37750,51140,74720,108240,156850,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,2820,5.2,83.806,1.21,,,45.59,94820,1.9,21.72,28.72,38.46,51.32,76.46,45170,59740,80000,106740,159030,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,340,9.4,5.326,3.83,,,59.17,123080,3.1,23.22,31.77,50.08,69.2,109.61,48290,66080,104160,143930,227990,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2820,4.8,3.041,2.19,,,59.41,123570,9.7,25,34.06,43.42,65.46,110.78,52000,70850,90310,136150,230420,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,120,8.9,3.465,2.49,,,83.14,172930,3.7,33.36,50.48,65.25,95.25,#,69390,105000,135720,198120,#,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,1360,7.4,21.071,0.91,,,35.52,73870,2.4,18.14,21.81,30.07,42.36,61.55,37730,45360,62540,88120,128020,,
